UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0  2023 ?        01:14:22 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root           2       0  0  2023 ?        00:03:27 [kthreadd]
root           4       2  0  2023 ?        00:00:00 [kworker/0:0H]
root           6       2  0  2023 ?        01:24:42 [ksoftirqd/0]
root           7       2  0  2023 ?        00:04:53 [migration/0]
root           8       2  0  2023 ?        00:00:00 [rcu_bh]
root           9       2  0  2023 ?        1-05:55:38 [rcu_sched]
root          10       2  0  2023 ?        00:00:00 [lru-add-drain]
root          11       2  0  2023 ?        00:03:37 [watchdog/0]
root          12       2  0  2023 ?        00:04:47 [watchdog/1]
root          13       2  0  2023 ?        00:08:21 [migration/1]
root          14       2  0  2023 ?        17:01:11 [ksoftirqd/1]
root          16       2  0  2023 ?        01:06:14 [kworker/1:0H]
root          18       2  0  2023 ?        00:03:28 [watchdog/2]
root          19       2  0  2023 ?        01:07:35 [migration/2]
root          20       2  0  2023 ?        01:09:51 [ksoftirqd/2]
root          22       2  0  2023 ?        00:00:00 [kworker/2:0H]
root          24       2  0  2023 ?        00:04:47 [watchdog/3]
root          25       2  0  2023 ?        01:12:28 [migration/3]
root          26       2  0  2023 ?        15:26:16 [ksoftirqd/3]
root          29       2  0  2023 ?        00:02:50 [watchdog/4]
root          30       2  0  2023 ?        00:15:47 [migration/4]
root          31       2  0  2023 ?        01:11:38 [ksoftirqd/4]
root          33       2  0  2023 ?        00:00:00 [kworker/4:0H]
root          34       2  0  2023 ?        00:04:46 [watchdog/5]
root          35       2  0  2023 ?        00:20:29 [migration/5]
root          36       2  0  2023 ?        19:18:08 [ksoftirqd/5]
root          38       2  0  2023 ?        00:00:00 [kworker/5:0H]
root          39       2  0  2023 ?        00:03:20 [watchdog/6]
root          40       2  0  2023 ?        00:06:16 [migration/6]
root          41       2  0  2023 ?        01:30:56 [ksoftirqd/6]
root          43       2  0  2023 ?        00:00:00 [kworker/6:0H]
root          44       2  0  2023 ?        00:04:45 [watchdog/7]
root          45       2  0  2023 ?        00:10:41 [migration/7]
root          46       2  0  2023 ?        18:07:30 [ksoftirqd/7]
root          48       2  0  2023 ?        00:00:00 [kworker/7:0H]
root          51       2  0  2023 ?        00:00:00 [kdevtmpfs]
root          52       2  0  2023 ?        00:00:00 [netns]
root          53       2  0  2023 ?        00:03:09 [khungtaskd]
root          54       2  0  2023 ?        00:00:00 [writeback]
root          55       2  0  2023 ?        00:00:00 [kintegrityd]
root          56       2  0  2023 ?        00:00:00 [bioset]
root          57       2  0  2023 ?        00:00:00 [bioset]
root          58       2  0  2023 ?        00:00:00 [bioset]
root          59       2  0  2023 ?        00:00:00 [kblockd]
root          60       2  0  2023 ?        00:00:00 [md]
root          61       2  0  2023 ?        00:00:00 [edac-poller]
root          62       2  0  2023 ?        00:00:00 [watchdogd]
root          69       2  1  2023 ?        3-16:58:28 [kswapd0]
root          70       2  1  2023 ?        3-16:29:21 [kswapd1]
root          71       2  0  2023 ?        00:00:00 [ksmd]
root          72       2  0  2023 ?        00:01:49 [khugepaged]
root          73       2  0  2023 ?        00:00:00 [crypto]
root          81       2  0  2023 ?        00:00:00 [kthrotld]
root          83       2  0  2023 ?        00:00:00 [kmpath_rdacd]
root          84       2  0  2023 ?        00:00:00 [kaluad]
root          91       2  0  2023 ?        00:00:00 [kpsmoused]
root          93       2  0  2023 ?        00:00:00 [ipv6_addrconf]
root         107       2  0  2023 ?        00:00:00 [deferwq]
root         144       2  0  2023 ?        00:00:38 [kauditd]
root         293       2  0  2023 ?        00:00:00 [scsi_eh_0]
root         301       2  0  2023 ?        00:00:00 [ata_sff]
root         303       2  0  2023 ?        00:00:00 [scsi_tmf_0]
root         307       2  0  2023 ?        00:00:00 [ixgbe]
root         309       2  0  2023 ?        00:00:00 [mlx4]
root         310       2  0  2023 ?        00:00:00 [mlx4_health]
root         316       2  0  2023 ?        00:00:00 [scsi_eh_1]
root         317       2  0  2023 ?        00:00:00 [scsi_tmf_1]
root         318       2  0  2023 ?        00:00:00 [scsi_eh_2]
root         319       2  0  2023 ?        00:00:00 [scsi_tmf_2]
root         320       2  0  2023 ?        00:00:00 [scsi_eh_3]
root         321       2  0  2023 ?        00:00:00 [scsi_tmf_3]
root         322       2  0  2023 ?        00:00:00 [scsi_eh_4]
root         323       2  0  2023 ?        00:00:00 [scsi_tmf_4]
root         324       2  0  2023 ?        00:00:00 [scsi_eh_5]
root         325       2  0  2023 ?        00:00:00 [scsi_tmf_5]
root         326       2  0  2023 ?        00:00:00 [scsi_eh_6]
root         327       2  0  2023 ?        00:00:00 [scsi_tmf_6]
root         333       2  0  2023 ?        00:00:00 [poll_megasas0_s]
root         334       2  0  2023 ?        00:00:00 [scsi_eh_7]
root         335       2  0  2023 ?        00:00:00 [scsi_tmf_7]
root         336       2  0  2023 ?        00:00:00 [ttm_swap]
root         342       2  0  2023 ?        00:00:00 [poll_megasas7_s]
root         344       2  0  2023 ?        00:00:00 [scsi_eh_8]
root         345       2  0  2023 ?        00:00:00 [scsi_tmf_8]
root         349       2  0  2023 ?        00:00:00 [poll_megasas8_s]
root         383       2  0  2023 ?        00:22:15 [kworker/4:1H]
root         385       2  0  2023 ?        00:25:05 [kworker/0:1H]
root         391       2  0  2023 ?        00:00:00 [ib-comp-wq]
root         392       2  0  2023 ?        00:00:00 [kworker/u99:0]
root         393       2  0  2023 ?        00:00:00 [kworker/u100:0]
root         395       2  0  2023 ?        00:00:00 [ib-comp-unb-wq]
root         396       2  0  2023 ?        00:00:00 [ib_mcast]
root         397       2  0  2023 ?        00:00:00 [ib_nl_sa_wq]
root         398       2  0  2023 ?        00:00:00 [mlx4_ib]
root         399       2  0  2023 ?        00:00:00 [mlx4_ib_mcg]
root         402       2  0  2023 ?        00:00:00 [ib_mad1]
root         403       2  0  2023 ?        00:00:00 [to_fifo]
root         404       2  0  2023 ?        00:45:36 [jbd2/sda3-8]
root         405       2  0  2023 ?        00:00:00 [ext4-rsv-conver]
root         489       1  0  2023 ?        00:27:45 /usr/lib/systemd/systemd-journald
root         515       2  0  2023 ?        00:00:00 [rpciod]
root         516       2  0  2023 ?        00:00:00 [xprtiod]
root         534       1  0  2023 ?        00:00:00 /usr/sbin/lvmetad -f
root         539       1  0  2023 ?        00:00:02 /usr/lib/systemd/systemd-udevd
root        1652       2  0  2023 ?        00:00:00 [kvm-irqfd-clean]
root        1773       2  0  2023 ?        00:00:00 [bioset]
root        1775       2  0  2023 ?        00:00:00 [xfsalloc]
root        1776       2  0  2023 ?        00:00:00 [xfs_mru_cache]
root        1777       2  0  2023 ?        00:00:00 [xfs-buf/sdc1]
root        1778       2  0  2023 ?        00:00:00 [xfs-data/sdc1]
root        1779       2  0  2023 ?        00:00:00 [xfs-conv/sdc1]
root        1780       2  0  2023 ?        00:00:00 [xfs-cil/sdc1]
root        1781       2  0  2023 ?        00:00:00 [xfs-reclaim/sdc]
root        1782       2  0  2023 ?        00:00:00 [xfs-log/sdc1]
root        1783       2  0  2023 ?        00:00:00 [xfs-eofblocks/s]
root        1784       2  0  2023 ?        04:31:37 [xfsaild/sdc1]
root        1786       2  0  2023 ?        00:00:00 [xfs-buf/sdd1]
root        1787       2  0  2023 ?        00:00:00 [xfs-data/sdd1]
root        1788       2  0  2023 ?        00:00:00 [xfs-conv/sdd1]
root        1789       2  0  2023 ?        00:00:00 [xfs-cil/sdd1]
root        1790       2  0  2023 ?        00:00:00 [xfs-reclaim/sdd]
root        1791       2  0  2023 ?        00:00:00 [xfs-log/sdd1]
root        1792       2  0  2023 ?        00:00:00 [xfs-eofblocks/s]
root        1793       2  0  2023 ?        13:23:58 [xfsaild/sdd1]
root        1794       2  0  2023 ?        00:15:57 [jbd2/sdb1-8]
root        1795       2  0  2023 ?        00:00:00 [ext4-rsv-conver]
root        1801       2  0  2023 ?        00:00:00 [jbd2/sda1-8]
root        1802       2  0  2023 ?        00:00:00 [ext4-rsv-conver]
root        1859       1  0  2023 ?        00:02:53 /sbin/auditd
